anio,entidad_federativa,municipio,localidad,cct,nombre,ambito,nivel,anio_creacion,antiguedad,alimentacion_agua,bebederos,descarga_agua_residual,con_luz,telefonia_fija,internet,nivel_accesibilidad,wc_alumnos,wc_alumnas,wc_discapacitados,wc_docentes,condicion_fis_wc,num_aulas,estructuras_atipicas,num_edificios,plan_proteccion_civil,mesa_binaria,mesa,silla,silla_paleta,mesa_banco,mesa_banco_binario,pizarron,computadora,laptop,cancha_deportiva,cubierta_techumbre_ext,fn_nombre,entidad_federativa_etq
2020,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,08DES0022U,MARIA CURIE,URBANO,SECUNDARIA,1978,41 A 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,4,4,2,0,REGULARES,18 O MÁS AULAS,CON ESTRUCTURA ATÍPICA,CON 8 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,5,10,753,0,0,20,125,0,CON CANCHA,CON TECHUMBRE,,Chihuahua
2020,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,08DJN0981R,ANGELA PERALTA,URBANO,PREESCOLAR,2008,11 A 20 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,2,3,0,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,80,170,0,0,0,5,1,0,SIN CANCHA,CON TECHUMBRE,,Chihuahua
2020,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,08DJN2001L,TEPORACA,URBANO,PREESCOLAR,2000,21 A 30 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,2,3,0,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,83,191,0,0,0,6,1,0,SIN CANCHA,CON TECHUMBRE,,Chihuahua
2020,AGUASCALIENTES,ASIENTOS,LA ESPERANZA,01DPR0251A,NIÑOS HEROES,RURAL,PRIMARIA,1965,MÁS DE 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,0,0,1,0,BUENAS,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,45,0,40,0,0,0,3,3,1,SIN CANCHA,SIN TECHUMBRE,,Aguascalientes
2020,AGUASCALIENTES,JESUS MARIA,EL REFUGIO,01DPR0187Q,21 DE AGOSTO,RURAL,PRIMARIA,1958,MÁS DE 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,3,5,1,2,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 7 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,6,40,60,0,0,7,30,0,SIN CANCHA,CON TECHUMBRE,,Aguascalientes
2020,AGUASCALIENTES,RINCON DE ROMOS,ESCALERAS,01DTV0038H,"ETV NUM. 38, ALFREDO V. BONFIL",RURAL,SECUNDARIA,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,7,8,1,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,0,22,52,85,0,0,9,3,0,CON CANCHA,CON TECHUMBRE,,Aguascalientes
2020,AGUASCALIENTES,RINCON DE ROMOS,MORELOS,01DPR0181W,MIGUEL HIDALGO,RURAL,PRIMARIA,1952,MÁS DE 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,3,1,0,BUENAS,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 7 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,120,20,60,120,0,0,5,6,1,CON CANCHA,CON TECHUMBRE,,Aguascalientes
2020,AGUASCALIENTES,TEPEZALA,MESILLAS,01DJN0142D,JOSE GOROSTIZA,RURAL,PREESCOLAR,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,3,3,1,0,BUENAS,1 A 2 AULAS,SIN ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,8,12,42,0,0,0,4,2,0,SIN CANCHA,CON TECHUMBRE,,Aguascalientes
2020,GUANAJUATO,CELAYA,CELAYA,11DPR0565H,LIBERTAD,URBANO,PRIMARIA,1962,MÁS DE 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,3,5,2,0,BUENAS,12 A 17 AULAS,CON ESTRUCTURA ATÍPICA,CON 6 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,310,310,35,0,0,12,1,0,CON CANCHA,SIN TECHUMBRE,,Guanajuato
2020,GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,11DST0016P,SECUNDARIA TECNICA NUM. 16,URBANO,SECUNDARIA,1975,41 A 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,9,11,0,2,BUENAS,12 A 17 AULAS,SIN ESTRUCTURA ATÍPICA,MÁS DE 10 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,870,27,870,0,0,0,37,112,28,CON CANCHA,CON TECHUMBRE,,Guanajuato
2020,CHIHUAHUA,CHIHUAHUA,COLONIA NUEVAS DELICIAS,08DPR1636E,CENTRO REGIONAL DE EDUC. INT. IGNACIO ZARAGOZA,RURAL,PRIMARIA,1958,MÁS DE 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,4,6,0,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 8 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,50,8,13,100,0,0,9,23,0,CON CANCHA,SIN TECHUMBRE,,Chihuahua
2020,CHIHUAHUA,CUAUHTEMOC,CUAUHTEMOC,08DJN0867Z,JOSE CLEMENTE OROZCO,URBANO,PREESCOLAR,1982,31 A 40 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,2,3,0,0,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,35,110,0,0,0,5,1,0,SIN CANCHA,SIN TECHUMBRE,,Chihuahua
2020,GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,EL LLANITO,11EPR0099B,MIGUEL HIDALGO,RURAL,PRIMARIA,1978,41 A 50 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,3,4,1,1,REGULARES,12 A 17 AULAS,CON ESTRUCTURA ATÍPICA,CON 7 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,365,365,0,0,0,20,5,0,CON CANCHA,SIN TECHUMBRE,,Guanajuato
2020,CHIHUAHUA,GUACHOCHI,GUACHOCHI,08DPR1432K,GABRIEL TEPORAME,URBANO,PRIMARIA,1976,41 A 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,5,7,0,0,REGULARES,12 A 17 AULAS,CON ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,60,10,0,200,0,0,12,1,1,CON CANCHA,CON TECHUMBRE,,Chihuahua
2020,CHIHUAHUA,GUERRERO,CUEVA DEL TORO (NATAHUACHI),08DTV0012T,MIGUEL HIDALGO,RURAL,SECUNDARIA,2000,21 A 30 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,0,0,BUENAS,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,0,0,50,0,0,3,0,0,CON CANCHA,SIN TECHUMBRE,,Chihuahua
2020,CHIHUAHUA,JIMENEZ,CALIFORNIA,08DJN0779E,BENITO JUAREZ,RURAL,PREESCOLAR,2008,11 A 20 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,0,0,BUENAS,1 A 2 AULAS,CON ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,10,32,0,0,0,1,0,0,SIN CANCHA,CON TECHUMBRE,,Chihuahua
2020,TABASCO,BALANCAN,TARIMAS (EMILIANO ZAPATA),27ETV0277O,CRISTOBAL COLON,RURAL,SECUNDARIA,1978,41 A 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,3,0,2,REGULARES,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,1,15,80,0,0,4,5,0,SIN CANCHA,SIN TECHUMBRE,,Tabasco
2020,TABASCO,JONUTA,EL BARRIAL,27DPR0587U,JOSE MARIA MORELOS Y PAVON,RURAL,PRIMARIA,1958,MÁS DE 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,4,4,1,0,MALAS,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 8 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,6,10,50,0,0,3,2,0,CON CANCHA,CON TECHUMBRE,,Tabasco
2020,ZACATECAS,HUANUSCO,HUANUSCO,32DJN0530O,ROSARIO CASTELLANOS,URBANO,PREESCOLAR,1993,21 A 30 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,2,0,BUENAS,1 A 2 AULAS,CON ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,8,35,0,0,0,2,0,0,SIN CANCHA,SIN TECHUMBRE,,Zacatecas
2020,GUANAJUATO,ACAMBARO,ACAMBARO,11EJN0289C,JUSTO SIERRA,URBANO,PREESCOLAR,1995,21 A 30 AÑOS,RED MUNICIPAL,CON BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,0,0,REGULARES,1 A 2 AULAS,CON ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,21,11,0,0,0,2,0,0,SIN CANCHA,SIN TECHUMBRE,,Guanajuato
2020,GUANAJUATO,HUANIMARO,HUANIMARO,11DES0032O,JAIME TORRES BODET,URBANO,SECUNDARIA,1991,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,7,10,0,2,REGULARES,12 A 17 AULAS,SIN ESTRUCTURA ATÍPICA,MÁS DE 10 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,500,500,70,0,0,12,46,2,CON CANCHA,CON TECHUMBRE,,Guanajuato
2020,GUANAJUATO,SILAO DE LA VICTORIA,SILAO DE LA VICTORIA,11DJN0035B,CATALINA DÏ ERSELL DULCHE E.,URBANO,PREESCOLAR,1985,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,4,6,2,0,BUENAS,6 A 11 AULAS,SIN ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,72,234,0,0,0,8,2,9,SIN CANCHA,CON TECHUMBRE,,Guanajuato
2020,GUANAJUATO,SAN JOSE ITURBIDE,LAS ADJUNTAS,11EJN0929H,SOR JUANA INES DE LA CRUZ,RURAL,PREESCOLAR,2018,10 AÑOS O MENOS,RED MUNICIPAL,SIN BEBEDERO,OTRO,CON LUZ,SIN TELÉFONO,SIN INTERNET,COMPLETA,1,2,1,0,BUENAS,1 A 2 AULAS,SIN ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,18,52,0,0,0,0,0,1,SIN CANCHA,SIN TECHUMBRE,,Guanajuato
2020,GUANAJUATO,SALAMANCA,LA CAPILLA,11DJN0204G,MARIA MONTESSORI,RURAL,PREESCOLAR,2000,21 A 30 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,3,1,0,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,108,108,0,0,0,0,0,1,SIN CANCHA,SIN TECHUMBRE,,Guanajuato
2020,GUANAJUATO,IRAPUATO,SAN ROQUE,11DJN0361X,EVERARDO HERNANDEZ,URBANO,PREESCOLAR,1990,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,CON TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,3,5,0,1,MALAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,0,84,254,0,0,0,7,6,0,SIN CANCHA,SIN TECHUMBRE,,Guanajuato
2020,TABASCO,HUIMANGUILLO,MARCELINO INORRUETA DE LA FUENTE,27DPR1324R,JOSE MARTI,RURAL,PRIMARIA,1985,31 A 40 AÑOS,POZO,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,2,3,0,0,BUENAS,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 6 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,5,5,0,70,0,0,3,0,0,SIN CANCHA,CON TECHUMBRE,,Tabasco
